DatasetName,MSE,hL,hActFunc,oActFunc,errorFunc,l2Penalty,num_epochs_pre,num_epochs_post,miniBatch_size,learning_rate
MNIST,1.2619047619047619,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,512,0.0005
MNIST,0.9831391784181484,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,512,0.001
MNIST,13.811874105865522,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,512,0.005
MNIST,2.851420396484774,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,512,0.01
MNIST,1.3341508277130594,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,64,0.0001
MNIST,1.2215409769057837,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,64,0.0005
MNIST,1.084406294706724,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,64,0.001
MNIST,1.5108318005313714,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,64,0.005
MNIST,6.665542611894543,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,64,0.01
MNIST,1.0721438790108317,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,128,0.0001
MNIST,1.0360719395054159,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,128,0.0005
MNIST,0.986817903126916,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,128,0.001
MNIST,1.6578786020846106,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,128,0.005
MNIST,1.119558553034948,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,128,0.01
MNIST,1.045779685264664,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,256,0.0001
MNIST,1.2474964234620887,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,256,0.0005
MNIST,1.401594114040466,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,256,0.001
MNIST,1.773349683220928,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,256,0.005
MNIST,2.095340282035561,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,256,0.01
MNIST,1.0994277539341917,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,512,0.0001
MNIST,1.2960351522583282,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,512,0.0005
MNIST,0.9737379930512978,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,512,0.001
MNIST,2.1544042509707744,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,512,0.005
MNIST,7.590639689352136,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,512,0.01
MNIST,1.3314939709789495,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,64,0.0001
MNIST,1.080829756795422,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,64,0.0005
MNIST,1.387083588800327,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,64,0.001
MNIST,2.215716329450235,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,64,0.005
MNIST,1.7660944206008584,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,64,0.01
MNIST,0.9858982219497241,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,128,0.0001
MNIST,1.164316370324954,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,128,0.0005
MNIST,1.0491518495810341,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,128,0.001
MNIST,2.0335172695687715,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,128,0.005
MNIST,1.9585121602288984,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,128,0.01
MNIST,1.0935009196811771,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,256,0.0001
MNIST,0.9911097486204782,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,256,0.0005
MNIST,0.8636828121806662,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,256,0.001
MNIST,1.710913549969344,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,256,0.005
MNIST,9.03065603923973,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,256,0.01
MNIST,1.1421418352748824,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,512,0.0001
MNIST,0.9792560801144492,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,512,0.0005
MNIST,1.2485182914367463,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,512,0.001
MNIST,8.137747802983855,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,512,0.005
MNIST,10.398426323319027,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,50,512,0.01
MNIST,1.8030860412834662,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,50,100,64,0.0001
